name,cnt
PLSQL,6752
Processing,6774
Elixir,6819
D,7196
Scheme,7241
Cucumber,7402
Handlebars,7670
Kotlin,7977
NSIS,8081
Tcl,8131
Nginx,8516
Vue,8671
ActionScript,8755
SourcePawn,9036
Vim script,9233
PLpgSQL,9235
UnrealScript,9503
SCSS,9538
Pascal,10137
Visual Basic,10464
Prolog,11119
Protocol Buffer,11668
Roff,12132
Lex,12506
Scilab,13050
Yacc,13695
GLSL,13904
Erlang,14909
Puppet,14936
M4,15776
Rust,15907
Emacs Lisp,16755
Jupyter Notebook,17332
Smarty,17346
QMake,17506
Matlab,17524
Objective-C++,17946
VimL,18977
Arduino,20424
Awk,20625
Groff,25635
Clojure,25896
Dockerfile,27176
Groovy,27229
R,29356
Haskell,30061
TeX,31554
XSLT,32226
ASP,32781
PowerShell,33176
Lua,34431
Scala,34562
Swift,42605
Assembly,47681
TypeScript,48027
CMake,56754
ApacheConf,68500
CoffeeScript,68589
Go,91867
Batchfile,97868
Perl,101533
C#,133110
Objective-C,166961
Makefile,251366
C++,277871
C,293231
PHP,339426
Java,369673
Ruby,374276
Python,550905
Shell,640886
HTML,777433
CSS,807826
JavaScript,1099966
